ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
12346,100-BW-T01,Pre-PQ Process,SO-424,DN-83,Botswana,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-04-27,2007-04-27,2007-04-27,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,0,Test kit,20,500,16000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1225.37,1225.37,52.72025063394566
12349,100-CI-T01,Pre-PQ Process,SO-434,DN-78,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-04-30,2007-04-30,2007-04-30,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8148,132405.0,16.25,0.54,"Aurobindo Unit III, India",Yes,2658.0,2658.0,213.82095882226474
12352,104-CI-T01,Pre-PQ Process,SO-585,DN-193,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-06-28,2007-06-28,2007-06-28,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,2100,75180.0,35.8,0.6,"Aurobindo Unit III, India",No,1619.0,1619.0,120.29
12354,112-NG-T01,Pre-PQ Process,SO-563,DN-209,Nigeria,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-07-03,2007-07-03,2007-07-03,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,538,1920.66,3.57,0.06,"Aurobindo Unit III, India",No,8331.36,8331.36,3.07
12355,110-ZM-T01,Pre-PQ Process,SO-637,DN-177,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-06-15,2007-06-15,2007-06-15,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,192,4128.0,21.5,0.09,"Aurobindo Unit III, India",Yes,650.12,650.12,36.70539929751392
12358,107-RW-T01,Pre-PQ Process,SO-602,DN-156,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-06-05,2007-06-05,2007-06-05,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,3431,11356.61,3.31,0.06,"Ranbaxy, Paonta Shahib, India",Yes,2520.47,2520.47,44.98433736636
12364,111-MZ-T01,Pre-PQ Process,SO-578,DN-184,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-07-11,2007-07-11,2007-07-11,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,Tablet - FDC,60,1171,81970.0,70.0,1.17,GSK Ware (UK),No,630.23,630.23,145.3832603746642
12365,112-NG-T01,Pre-PQ Process,SO-563,DN-209,Nigeria,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-07-03,2007-07-03,2007-07-03,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,278,1098.1,3.95,0.02,"Aurobindo Unit III, India",No,8331.36,8331.36,1.76
12366,111-MZ-T01,Pre-PQ Process,SO-576,DN-148,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-06-13,2007-06-13,2007-06-13,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,50mg,Capsule,30,1844,6306.48,3.42,0.11,"MSD Manati, Puerto Rico, (USA)",No,8892.48,8892.48,31.763817246542587
12368,117-ET-T01,Pre-PQ Process,SO-582,DN-157,Ethiopia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-05-24,2007-05-24,2007-05-24,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,0,Test kit,20,200,6400.0,32.0,1.6,"Trinity Biotech, Plc",No,2129.46,2129.46,38.44415444605469
12369,104-CI-T01,Pre-PQ Process,SO-617,DN-163,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-06-15,2007-06-15,2007-06-15,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,4374,37266.48,8.52,0.14,"Aurobindo Unit III, India",Yes,1432.0,1432.0,82.20572798737548
12372,109-TZ-T01,Pre-PQ Process,SO-441,DN-246,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-08-13,2007-08-13,2007-08-13,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,4776,170980.8,35.8,0.6,"Aurobindo Unit III, India",No,4198.0,4198.0,273.57
12373,104-CI-T01,Pre-PQ Process,SO-524,DN-268,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-08-14,2007-08-14,2007-08-14,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,5344,86893.44,16.26,0.54,"Aurobindo Unit III, India",No,7947.0,7947.0,139.03
12375,110-ZM-T01,Pre-PQ Process,SO-621,DN-224,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-07-09,2007-07-09,2007-07-09,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,350,7525.0,21.5,0.09,"Aurobindo Unit III, India",Yes,874.57,874.57,12.04
12378,110-ZM-T01,Pre-PQ Process,SO-314,DN-270,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-08-07,2007-08-07,2007-08-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,48348,786138.48,16.26,0.54,"Aurobindo Unit III, India",No,37695.46,37695.46,1257.82
12379,111-MZ-T01,Pre-PQ Process,SO-502,DN-282,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-10-10,2007-10-10,2007-10-10,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,7750,30612.5,3.95,0.02,"Aurobindo Unit III, India",No,3438.84,3438.84,48.98
12384,109-TZ-T01,Pre-PQ Process,SO-768,DN-239,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-07-30,2007-07-30,2007-07-30,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,11807,42150.99,3.57,0.06,"Aurobindo Unit III, India",Yes,3291.0,3291.0,67.44
12388,104-CI-T01,Pre-PQ Process,SO-523,DN-260,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-08-03,2007-08-03,2007-08-03,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,23472,176040.0,7.5,0.12,"Cipla, Goa, India",No,6889.0,6889.0,281.66
12391,104-CI-T01,Pre-PQ Process,SO-844,DN-315,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-08-24,2007-08-24,2007-08-24,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,55032,110064.0,2.0,0.07,"Cipla, Goa, India",Yes,12438.0,12438.0,176.1
12393,109-TZ-T01,Pre-PQ Process,SO-455,DN-290,Tanzania,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-09-10,2007-09-10,2007-09-10,ARV,Adult,SCMS from RDC,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,157,6022.52,38.36,0.11,ABBVIE (Abbott) Logis. UK,No,9689.0,9689.0,9.64
12395,111-MZ-T01,Pre-PQ Process,SO-298,DN-304,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-09-21,2007-09-21,2007-09-21,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,2744,6695.36,2.44,0.01,"Cipla, Goa, India",No,9869.55,9869.55,10.71
12396,111-MZ-T01,Pre-PQ Process,SO-298,DN-304,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-09-21,2007-09-21,2007-09-21,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,2185,8630.75,3.95,0.02,"Aurobindo Unit III, India",No,9869.55,9869.55,13.81
12397,104-CI-T01,Pre-PQ Process,SO-589,DN-314,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-08-24,2007-08-24,2007-08-24,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,50mg,Capsule,30,738,2560.86,3.47,0.12,"MSD, Haarlem, NL",No,1786.0,1786.0,4.1
12399,111-MZ-T01,Pre-PQ Process,SO-944,DN-310,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-09-21,2007-09-21,2007-09-21,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,0,Test kit,20,2500,80000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,3818.4,3818.4,128.0
12400,110-ZM-T01,Pre-PQ Process,SO-908,DN-319,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-08-29,2007-08-29,2007-08-29,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,30000,91200.0,3.04,0.05,"Aurobindo Unit III, India",No,5663.0,5663.0,145.92
12404,109-TZ-T01,Pre-PQ Process,SO-1075,DN-360,Tanzania,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-10-11,2007-10-11,2007-10-11,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,1987,64418.54,32.42,0.36,MSD South Granville Australia,Yes,2465.0,2465.0,103.07
12406,110-ZM-T01,Pre-PQ Process,SO-940,DN-366,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-09-27,2007-09-27,2007-09-27,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,12420,101223.0,8.15,0.14,"Aurobindo Unit III, India",No,63886.29,63886.29,161.96
12407,110-ZM-T01,Pre-PQ Process,SO-1077,DN-367,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-09-28,2007-09-28,2007-09-28,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,16974,125607.6,7.4,0.12,"Cipla, Goa, India",Yes,7927.55,7927.55,200.97
12408,110-ZM-T01,Pre-PQ Process,SO-1066,DN-368,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,604,9664.0,16.0,0.18,"Aurobindo Unit III, India",Yes,723.59,723.59,15.46
12411,104-CI-T01,Pre-PQ Process,SO-963,DN-323,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-09-14,2007-09-14,2007-09-14,ARV,Pediatric,SCMS from RDC,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,100mg,Chewable/dispersible tablet,60,1696,13144.0,7.75,0.13,"Aurobindo Unit III, India",No,7629.94,7629.94,21.03
12413,113-ZW-T01,Pre-PQ Process,SO-891,DN-382,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,2007-10-05,2007-10-05,2007-10-05,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,0,Test kit,25,2492,49840.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3085.84,3085.84,79.74
12416,104-CI-T01,Pre-PQ Process,SO-964,DN-379,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-10-15,2007-10-15,2007-10-15,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,5794,47221.1,8.15,0.14,"Ranbaxy, Paonta Shahib, India",No,13721.28,13721.28,75.55
12418,110-ZM-T01,Pre-PQ Process,SO-909,DN-400,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-11-02,2007-11-02,2007-11-02,ARV,Adult,SCMS from RDC,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,1381,2416.75,1.75,0.03,"Aurobindo Unit III, India",Yes,1320.08,1320.08,3.87
12421,110-ZM-T01,Pre-PQ Process,SO-572,DN-388,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-11-09,2007-11-09,2007-11-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,11254,182990.04,16.26,0.54,"Aurobindo Unit III, India",No,19590.04,19590.04,292.78
12424,112-NG-T01,Pre-PQ Process,SO-1221,DN-409,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-11-16,2007-11-16,2007-11-16,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,1200,14904.0,12.42,0.41,"Aurobindo Unit III, India",No,1616.04,1616.04,23.85
12425,111-MZ-T01,Pre-PQ Process,SO-1064,DN-415,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-11-30,2007-11-30,2007-11-30,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,0,Test kit,20,5000,160000.0,32.0,1.6,"Trinity Biotech, Plc",No,10698.63,10698.63,256.0
12426,112-NG-T01,Pre-PQ Process,SO-1109,DN-422,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-11-09,2007-11-09,2007-11-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,1246,9345.0,7.5,0.12,"Cipla, Goa, India",No,5180.0,5180.0,14.95
12428,104-CI-T01,Pre-PQ Process,SO-1245,DN-423,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-11-13,2007-11-13,2007-11-13,ARV,Adult,SCMS from RDC,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,23,1808.72,78.64,0.29,Roche Basel,No,10137.04,10137.04,2.89
12429,110-ZM-T01,Pre-PQ Process,SO-1653,DN-608,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-04-10,2008-04-10,2008-04-10,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,25338,314697.96,12.42,0.41,Mylan (formerly Matrix) Nashik,Yes,7836.6,7836.6,503.52
12431,111-MZ-T01,Pre-PQ Process,SO-1039,DN-603,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-04-08,2008-04-08,2008-04-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,7128,67716.0,9.5,0.16,"Cipla, Goa, India",No,8405.91,8405.91,108.35
12432,104-CI-T01,Pre-PQ Process,SO-1101,DN-434,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-11-22,2007-11-22,2007-11-22,ARV,Pediatric,SCMS from RDC,"Didanosine 200mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,200mg,Chewable/dispersible tablet,60,7744,297059.84,38.36,0.64,"Aurobindo Unit III, India",No,25563.0,25563.0,475.3
12433,104-CI-T01,Pre-PQ Process,SO-1101,DN-434,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-11-22,2007-11-22,2007-11-22,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,34020,422528.4,12.42,0.41,"Strides, Bangalore, India.",No,25563.0,25563.0,676.05
12434,117-ET-T01,Pre-PQ Process,SO-919,DN-389,Ethiopia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-10-31,2007-10-31,2007-10-31,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,3145,9560.8,3.04,0.05,"Aurobindo Unit III, India",Yes,810.86,810.86,15.3
12435,114-UG-T01,Pre-PQ Process,SO-1300,DN-435,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-12-10,2007-12-10,2007-12-10,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,140,1141.0,8.15,0.14,"Aurobindo Unit III, India",No,3393.0,3393.0,1.83
12438,104-CI-T01,Pre-PQ Process,SO-1308,DN-448,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-12-18,2007-12-18,2007-12-18,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,6200,10850.0,1.75,0.03,"Aurobindo Unit III, India",Yes,4147.9,4147.9,17.36
12439,110-ZM-T01,Pre-PQ Process,SO-1031,DN-454,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-12-06,2007-12-06,2007-12-06,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,12240,503064.0,41.1,0.34,ABBVIE (Abbott) Logis. UK,Yes,9736.5,9736.5,804.9
12441,110-ZM-T01,Pre-PQ Process,SO-628,DN-493,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-12-28,2007-12-28,2007-12-28,ARV,Pediatric,SCMS from RDC,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,746,30660.6,41.1,0.14,ABBVIE (Abbott) Logis. UK,Yes,1566.21,1566.21,49.06
12443,106-HT-T01,Pre-PQ Process,SO-1289,DN-498,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-12-31,2007-12-31,2007-12-31,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,42000,142800.0,3.4,0.06,"Aurobindo Unit III, India",Yes,32483.5,32483.5,228.48
12446,110-ZM-T01,Pre-PQ Process,SO-1316,DN-506,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,2007-12-19,2007-12-19,2007-12-19,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,77724,264261.6,3.4,0.06,"Cipla, Goa, India",Yes,24405.0,24405.0,422.82
12447,117-ET-T01,Pre-PQ Process,SO-1530,DN-537,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2007-12-20,2007-12-25,2007-12-25,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,12745,43333.0,3.4,0.06,"Aurobindo Unit III, India",Yes,8332.0,8332.0,69.33
12451,112-NG-T01,Pre-PQ Process,SO-1430,DN-567,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-01-16,2008-01-24,2008-01-24,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,4836,99138.0,20.5,0.34,"Aurobindo Unit III, India",Yes,3228.0,3228.0,158.62
12452,104-CI-T01,Pre-PQ Process,SO-1657,DN-568,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-01-25,2008-01-25,2008-01-25,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2121,87173.1,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,2206.0,2206.0,139.48
12453,117-ET-T01,Pre-PQ Process,SO-1522,DN-519,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-01-31,2008-01-31,2008-01-31,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,67624,839890.08,12.42,0.41,"Aurobindo Unit III, India",Yes,20222.4,20222.4,1343.82
12454,111-MZ-T01,Pre-PQ Process,SO-1039,DN-601,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-04-08,2008-04-05,2008-04-05,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,42700,576450.0,13.5,0.22,"Aurobindo Unit III, India",No,8118.64,8118.64,922.32
12455,107-RW-T01,Pre-PQ Process,SO-1534,DN-590,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-02-29,2008-02-29,2008-02-29,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,2000,3940.0,1.97,0.01,"Aurobindo Unit III, India",No,5531.4,5531.4,6.3
12456,110-ZM-T01,Pre-PQ Process,SO-1315,DN-508,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2007-12-28,2007-12-28,2007-12-28,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,58680,199512.0,3.4,0.06,"Aurobindo Unit III, India",Yes,15245.25,15245.25,319.22
12459,110-ZM-T01,Pre-PQ Process,SO-1035,DN-555,Zambia,PMO - US,From RDC,N/A - From RDC,Missing,Pre-PQ Process,N/A - From RDC,2008-01-25,2008-01-25,2008-01-25,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,14465,179655.3,12.42,0.41,Mylan (formerly Matrix) Nashik,Yes,4428.75,4428.75,287.45
12460,104-CI-T01,Pre-PQ Process,SO-1104,DN-569,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-01-29,2008-01-29,2008-01-29,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,15000,29550.0,1.97,0.01,"Aurobindo Unit III, India",No,30167.0,30167.0,47.28
12461,107-RW-T01,Pre-PQ Process,SO-1222,DN-571,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-01-28,2008-01-28,2008-01-28,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,0,Test kit,100,2093,150675.07,71.99,0.72,Inverness Japan,No,12977.28,12977.28,241.08
12462,107-RW-T01,Pre-PQ Process,SO-1223,DN-572,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2008-01-28,2008-01-28,2008-01-28,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,0,Test kit - Ancillary,100,1250,12.5,0.01,0.0,Inverness Japan,No,8143.19,8143.19,0.02
